Step,Load
step,mV
1.00,0.15
1.00,0.03
2.00,0.03
3.00,-0.97
4.00,0.03
5.00,-0.60
6.00,0.15
6.00,0.15
7.00,0.03
8.00,-0.22
9.00,0.65
10.00,0.90
11.00,-0.10
12.00,0.40
13.00,1.15
14.00,1.15
15.00,0.15
16.00,-0.10
17.00,0.28
18.00,-1.10
19.00,-0.85
19.00,-0.85
20.00,0.90
21.00,-0.35
22.00,0.53
23.00,0.90
24.00,-0.35
25.00,-0.35
26.00,-0.35
27.00,0.03
28.00,-0.85
29.00,0.53
30.00,0.40
31.00,-0.35
32.00,0.03
32.00,0.03
33.00,-0.10
34.00,-1.60
35.00,0.53
36.00,0.78
37.00,-0.10
38.00,-0.10
39.00,0.28
40.00,0.40
41.00,-0.10
42.00,0.28
43.00,0.78
44.00,0.28
45.00,0.65
45.00,0.65
46.00,0.53
47.00,-1.35
48.00,0.90
49.00,0.03
50.00,0.03
51.00,-1.47
52.00,-0.10
53.00,0.78
54.00,-0.35
55.00,-0.47
56.00,0.40
57.00,-0.22
58.00,-0.22
58.00,-0.72
59.00,0.28
60.00,0.03
61.00,0.65
62.00,0.65
63.00,-0.35
64.00,-0.47
65.00,-0.22
66.00,-0.22
67.00,-0.22
68.00,0.28
69.00,0.78
70.00,0.78
71.00,0.03
71.00,-0.10
72.00,0.65
73.00,0.28
74.00,0.28
75.00,1.40
76.00,-0.35
77.00,-0.47
78.00,1.15
79.00,0.03
80.00,-0.60
81.00,-0.10
82.00,-0.10
83.00,-0.10
84.00,-0.72
84.00,0.28
85.00,0.65
86.00,0.65
87.00,-0.85
88.00,0.90
89.00,0.15
90.00,-1.10
91.00,0.65
92.00,0.78
93.00,-0.47
94.00,-0.47
95.00,-0.22
96.00,0.28
97.00,-0.72
97.00,-0.35
98.00,-0.35
99.00,0.15
100.00,-0.22
101.00,0.78
102.00,0.53
103.00,0.03
104.00,0.78
105.00,0.65
106.00,0.65
107.00,-0.10
108.00,0.03
109.00,0.65
110.00,0.28
110.00,0.28
111.00,-0.35
112.00,-0.47
113.00,0.03
114.00,0.28
115.00,-0.60
116.00,0.03
117.00,1.15
118.00,1.15
119.00,-0.10
120.00,-0.47
121.00,0.28
122.00,0.03
123.00,-0.47
123.00,-0.47
124.00,0.40
125.00,-0.85
126.00,0.28
127.00,0.15
128.00,-0.10
129.00,-0.47
130.00,-0.47
131.00,-0.22
132.00,0.28
133.00,0.03
134.00,0.90
135.00,0.65
136.00,0.40
136.00,0.40
137.00,0.53
138.00,-0.47
139.00,1.40
140.00,0.53
141.00,-0.35
142.00,-0.35
143.00,0.40
144.00,-0.10
145.00,-0.97
146.00,-0.35
147.00,0.53
148.00,-0.22
149.00,0.15
149.00,0.15
150.00,0.40
151.00,-0.72
152.00,1.03
153.00,0.15
154.00,0.15
155.00,-1.22
156.00,-0.10
157.00,0.40
158.00,-0.60
159.00,-0.22
160.00,0.28
161.00,-0.22
162.00,-0.22
162.00,-0.60
163.00,0.28
164.00,0.40
165.00,0.40
166.00,1.15
167.00,0.15
168.00,-0.10
169.00,0.53
170.00,0.53
171.00,0.03
172.00,0.40
173.00,0.78
174.00,0.78
175.00,-0.10
175.00,-0.47
176.00,0.15
177.00,0.15
178.00,-0.72
179.00,0.65
180.00,-0.10
181.00,-0.47
182.00,1.03
183.00,0.65
184.00,-0.60
185.00,0.03
186.00,0.03
187.00,0.28
188.00,-0.97
188.00,-0.22
189.00,-0.22
190.00,0.53
191.00,-0.72
192.00,0.28
193.00,0.03
194.00,-0.85
195.00,0.53
196.00,1.03
197.00,0.28
198.00,0.28
199.00,0.15
200.00,0.78
200.00,-0.22
201.00,-0.22
202.00,0.03
203.00,0.65
204.00,0.40
205.00,-0.72
206.00,0.28
207.00,0.90
208.00,-0.35
209.00,-1.10
210.00,-1.10
211.00,0.15
212.00,0.28
213.00,-0.35
213.00,-0.35
214.00,0.78
215.00,-0.10
216.00,-0.47
217.00,0.78
218.00,-0.35
219.00,-1.10
220.00,0.28
221.00,0.28
222.00,0.28
223.00,-1.10
224.00,-0.22
225.00,0.53
226.00,-0.72
226.00,-0.72
227.00,0.28
228.00,0.15
229.00,0.65
230.00,0.78
231.00,0.28
232.00,0.28
233.00,0.28
234.00,0.15
235.00,0.15
236.00,-0.35
237.00,0.28
238.00,0.53
239.00,-0.22
239.00,-0.22
240.00,-0.10
241.00,-1.22
242.00,0.78
243.00,0.40
244.00,-0.35
245.00,-0.35
246.00,0.53
247.00,0.28
248.00,-0.85
249.00,-0.35
250.00,-0.10
251.00,-0.72
252.00,-0.47
252.00,-0.47
253.00,0.40
254.00,-0.85
255.00,0.65
256.00,0.40
257.00,0.40
258.00,-0.35
259.00,-0.35
260.00,0.65
261.00,0.40
262.00,0.03
263.00,0.40
264.00,0.53
265.00,0.53
265.00,-0.35
266.00,0.03
267.00,-0.10
268.00,1.28
269.00,1.28
270.00,-0.10
271.00,-0.35
272.00,0.53
273.00,0.28
274.00,-0.72
275.00,0.15
276.00,0.78
277.00,0.78
278.00,0.03
278.00,-0.10
279.00,-0.10
280.00,-0.47
281.00,-0.47
282.00,0.28
283.00,-0.60
284.00,-1.35
285.00,0.28
286.00,0.40
287.00,-0.60
288.00,0.15
289.00,0.15
290.00,0.53
291.00,-0.47
291.00,0.03
292.00,1.03
293.00,1.03
294.00,-0.22
295.00,0.53
296.00,0.15
297.00,-0.47
298.00,0.40
299.00,0.53
300.00,-0.10
301.00,-0.10
302.00,0.40
303.00,0.65
304.00,-0.22
304.00,-0.22
305.00,-0.22
306.00,-0.10
307.00,-0.22
308.00,0.53
309.00,-0.10
310.00,-0.10
311.00,0.40
312.00,-0.35
313.00,-0.35
314.00,-0.72
315.00,-0.22
316.00,-0.47
317.00,-0.35
317.00,-0.35
318.00,0.65
319.00,-0.85
320.00,0.28
321.00,1.15
322.00,-0.35
323.00,-0.22
324.00,1.03
325.00,1.03
326.00,0.40
327.00,-0.47
328.00,0.15
329.00,0.28
330.00,-0.47
330.00,-0.47
331.00,0.28
332.00,-0.35
333.00,0.40
334.00,0.65
335.00,0.03
336.00,0.03
337.00,0.03
338.00,-0.10
339.00,-0.10
340.00,-0.47
341.00,0.40
342.00,0.03
343.00,-0.47
343.00,-0.47
344.00,-0.22
345.00,-1.22
346.00,0.28
347.00,0.15
348.00,-0.72
349.00,-0.72
350.00,0.28
351.00,0.53
352.00,-0.35
353.00,0.03
354.00,0.53
355.00,-0.10
356.00,-0.10
356.00,-0.10
357.00,0.65
358.00,-0.85
359.00,0.78
360.00,0.28
361.00,0.28
362.00,-0.47
363.00,-0.10
364.00,0.40
365.00,0.40
366.00,0.53
367.00,0.53
368.00,0.28
369.00,0.28
369.00,-0.60
370.00,-0.10
371.00,-0.10
372.00,1.03
373.00,1.03
374.00,-0.47
375.00,-0.72
376.00,0.15
377.00,-0.22
378.00,-0.47
379.00,0.15
380.00,0.28
381.00,0.28
382.00,-0.10
382.00,-0.10
383.00,0.40
384.00,-0.35
385.00,-0.35
386.00,0.65
387.00,-0.10
388.00,-1.10
389.00,0.65
390.00,0.78
391.00,-0.72
392.00,0.28
393.00,0.28
394.00,0.78
395.00,-0.60
395.00,0.03
396.00,0.03
397.00,0.90
398.00,0.15
399.00,0.65
400.00,0.28
401.00,-0.47
402.00,0.03
403.00,0.28
404.00,-0.35
405.00,-0.35
406.00,0.03
407.00,0.15
408.00,-0.72
408.00,-0.72
409.00,-0.10
410.00,-0.35
411.00,-0.35
412.00,0.65
413.00,-0.10
414.00,0.15
415.00,0.65
416.00,0.28
417.00,0.28
418.00,-0.72
419.00,-0.10
420.00,0.03
421.00,-0.35
421.00,-0.35
422.00,0.65
423.00,-0.60
424.00,0.28
425.00,1.15
426.00,0.15
427.00,-0.10
428.00,0.90
429.00,0.90
430.00,0.90
431.00,-0.47
432.00,0.40
433.00,0.53
434.00,-0.85
434.00,-0.85
435.00,-0.10
436.00,-0.60
437.00,0.40
438.00,0.28
439.00,-0.35
440.00,-0.35
441.00,-0.22
442.00,-0.35
443.00,-0.22
444.00,-0.22
445.00,0.40
446.00,0.28
447.00,-0.10
447.00,-0.10
448.00,0.28
449.00,-1.22
450.00,0.65
451.00,0.28
452.00,0.28
453.00,-0.72
454.00,0.15
455.00,0.40
456.00,-0.35
457.00,0.15
458.00,0.65
459.00,0.15
460.00,0.15
460.00,0.15
461.00,1.15
462.00,-0.10
463.00,0.65
464.00,0.65
465.00,0.28
466.00,-1.10
467.00,-0.97
468.00,0.40
469.00,-0.22
470.00,-0.35
471.00,0.40
472.00,0.03
473.00,0.03
473.00,-0.85
474.00,0.03
475.00,0.03
476.00,0.03
477.00,0.53
478.00,-0.22
479.00,-0.47
480.00,0.15
481.00,-0.22
482.00,-0.47
483.00,0.03
484.00,0.03
485.00,0.15
486.00,0.15
486.00,-0.10
487.00,0.15
488.00,0.15
489.00,-0.22
490.00,1.15
491.00,-0.10
492.00,-0.47
493.00,1.28
494.00,0.90
495.00,-0.72
496.00,-0.72
497.00,0.28
498.00,0.03
499.00,-1.47
499.00,0.15
500.00,0.15
501.00,0.40
502.00,-0.60
503.00,0.40
504.00,0.15
505.00,-0.60
506.00,0.28
507.00,0.78
508.00,0.78
509.00,-0.60
510.00,-0.10
511.00,0.15
512.00,-0.35
512.00,-0.35
513.00,-0.22
514.00,-0.47
515.00,0.03
516.00,0.53
517.00,-0.22
518.00,0.40
519.00,0.65
520.00,0.65
521.00,0.28
522.00,-0.10
523.00,0.65
524.00,0.40
525.00,0.03
525.00,0.03
526.00,0.78
527.00,-0.85
528.00,0.53
529.00,0.40
530.00,-0.85
531.00,-0.47
532.00,-0.47
533.00,0.53
534.00,-0.10
535.00,-0.47
536.00,0.53
537.00,0.15
538.00,-0.60
538.00,-0.60
539.00,0.40
540.00,-0.72
541.00,0.40
542.00,0.28
543.00,-0.35
544.00,-0.35
545.00,-0.60
546.00,-0.10
547.00,-0.22
548.00,-0.47
549.00,0.53
550.00,0.40
551.00,-0.10
551.00,-0.10
552.00,0.40
553.00,-0.22
554.00,1.15
555.00,0.28
556.00,0.28
557.00,-0.35
558.00,0.53
559.00,0.03
560.00,-0.35
561.00,-0.60
562.00,-0.47
563.00,-0.10
564.00,-0.10
564.00,-0.35
565.00,0.40
566.00,0.03
567.00,0.90
568.00,0.90
569.00,0.03
570.00,-0.97
571.00,0.03
572.00,0.28
573.00,-0.35
574.00,0.15
575.00,-0.10
576.00,-0.10
577.00,-0.22
577.00,-0.60
578.00,-0.10
579.00,0.03
580.00,0.03
581.00,0.90
582.00,-0.10
583.00,-0.35
584.00,1.15
585.00,0.40
586.00,0.28
587.00,0.53
588.00,0.53
589.00,0.53
590.00,0.15
590.00,-0.10
591.00,0.28
592.00,0.28
593.00,-0.60
594.00,0.40
595.00,-0.35
596.00,-0.85
597.00,0.90
598.00,0.78
599.00,-0.60
600.00,-0.60
601.00,0.03
602.00,0.40
603.00,-0.85
603.00,0.03
604.00,0.03
605.00,0.15
606.00,-0.47
607.00,0.15
608.00,-0.35
609.00,-0.72
610.00,0.15
611.00,0.28
612.00,0.28
613.00,-0.10
614.00,0.53
615.00,0.40
616.00,-0.10
616.00,-0.10
617.00,0.78
618.00,-0.10
619.00,0.40
620.00,0.90
621.00,-0.35
622.00,0.15
623.00,0.40
624.00,0.40
625.00,-0.22
626.00,-0.85
627.00,0.03
628.00,0.03
629.00,0.15
629.00,0.15
630.00,0.40
631.00,-1.10
632.00,0.53
633.00,0.53
634.00,-0.85
635.00,-0.47
636.00,-0.47
637.00,0.15
638.00,-0.35
639.00,-0.72
640.00,0.28
641.00,-0.10
642.00,-0.35
642.00,-0.35
643.00,0.28
644.00,-0.35
645.00,1.15
646.00,0.65
647.00,-0.10
648.00,-0.10
649.00,0.40
650.00,0.40
651.00,-0.22
652.00,0.03
653.00,0.28
654.00,0.28
654.00,0.28
655.00,-0.10
656.00,-1.22
657.00,1.03
658.00,-0.10
659.00,-0.10
660.00,-0.97
661.00,0.78
662.00,0.65
663.00,-0.72
664.00,0.28
665.00,0.28
666.00,-0.60
667.00,-0.85
667.00,-0.85
668.00,0.40
669.00,-0.72
670.00,0.53
671.00,0.53
672.00,-0.10
673.00,-0.47
674.00,-0.35
675.00,0.28
676.00,-0.10
677.00,0.53
678.00,0.78
679.00,0.15
680.00,0.15
680.00,-0.10
681.00,0.40
682.00,-0.35
683.00,-0.35
684.00,0.78
685.00,-0.22
686.00,-0.72
687.00,0.28
688.00,0.40
689.00,-0.72
690.00,-0.22
691.00,0.40
692.00,0.40
693.00,-0.10
693.00,0.15
694.00,0.28
695.00,0.28
696.00,-0.60
697.00,0.53
698.00,-0.60
699.00,-1.47
700.00,0.28
701.00,0.03
702.00,-0.72
703.00,-0.10
704.00,-0.10
705.00,0.53
706.00,-0.60
706.00,-0.10
707.00,-0.10
708.00,0.53
709.00,0.03
710.00,0.90
711.00,-0.10
712.00,-0.10
713.00,0.65
714.00,0.15
715.00,0.15
716.00,-0.35
717.00,0.28
718.00,0.53
719.00,-0.47
719.00,-0.47
720.00,0.53
721.00,-0.35
722.00,-0.47
723.00,1.03
