Step (steps),Load (N),Stage
0,0.04114185850707706,0
0,0.04114185850707706,0
1,0.030856393880307795,0
3,-0.02057092925353853,0
4,0.02057092925353853,0
6,0.13371104014800045,0
7,0.2365656864156931,0
8,0.2365656864156931,0
10,0.2365656864156931,0
11,0.16456743402830823,0
13,0.09256918164092338,0
14,0.05142732313384632,0
15,0.11314011089446191,0
17,0.2674220802960009,0
18,0.2571366156692316,0
20,0.12342557552123118,0
21,0.09256918164092338,0
22,0.05142732313384632,0
24,0.08228371701415411,0
25,0.19542382790861604,0
27,0.09256918164092338,0
28,0.030856393880307795,0
29,0.010285464626769264,0
31,-0.06171278776061559,0
32,-0.05142732313384632,0
34,-0.05142732313384632,0
35,-0.16456743402830823,0
36,-0.15428196940153896,0
38,-0.22628022178892382,0
39,-0.32913486805661646,0
41,-0.2365656864156931,0
42,-0.24685115104246236,0
44,-0.2674220802960009,0
45,-0.2674220802960009,0
46,-0.37027672656369354,0
48,-0.35999126193692427,0
49,-0.21599475716215455,0
51,-0.22628022178892382,0
52,-0.18513836328184677,0
53,-0.22628022178892382,0
55,-0.2879930095495394,0
56,-0.15428196940153896,0
58,-0.02057092925353853,0
59,-0.06171278776061559,0
60,-0.10285464626769264,0
62,-0.1439965047747697,0
63,-0.12342557552123118,0
65,-0.010285464626769264,0
66,-0.010285464626769264,0
67,-0.04114185850707706,0
69,-0.07199825238738485,0
70,-0.1748528986550775,0
72,-0.16456743402830823,0
73,-0.06171278776061559,0
74,-0.10285464626769264,0
76,-0.12342557552123118,0
77,-0.19542382790861604,0
79,-0.3085639388030779,0
80,-0.21599475716215455,0
82,-0.15428196940153896,0
83,-0.20570929253538528,0
84,-0.22628022178892382,0
86,-0.3085639388030779,0
87,-0.32913486805661646,0
89,-0.19542382790861604,0
90,-0.16456743402830823,0
91,-0.20570929253538528,0
93,-0.20570929253538528,0
94,-0.2571366156692316,0
96,-0.22628022178892382,0
97,-0.08228371701415411,0
98,-0.09256918164092338,0
100,-0.10285464626769264,0
101,-0.09256918164092338,0
103,-0.1439965047747697,0
104,-0.08228371701415411,0
105,0.030856393880307795,0
107,-0.030856393880307795,0
108,-0.02057092925353853,0
110,-0.07199825238738485,0
111,-0.15428196940153896,0
113,-0.07199825238738485,0
114,-0.030856393880307795,0
115,-0.07199825238738485,0
117,-0.07199825238738485,0
118,-0.16456743402830823,0
120,-0.21599475716215455,0
121,-0.09256918164092338,0
122,-0.13371104014800045,0
124,-0.1439965047747697,0
125,-0.15428196940153896,0
127,-0.2571366156692316,0
128,-0.21599475716215455,0
129,-0.12342557552123118,0
131,-0.15428196940153896,0
132,-0.1439965047747697,0
134,-0.20570929253538528,0
135,-0.29827847417630865,0
136,-0.16456743402830823,0
138,-0.09256918164092338,0
139,-0.13371104014800045,0
141,-0.09256918164092338,0
142,-0.1748528986550775,0
143,-0.18513836328184677,0
145,-0.02057092925353853,0
146,-0.07199825238738485,0
148,-0.06171278776061559,0
149,-0.06171278776061559,0
151,-0.1748528986550775,0
152,-0.12342557552123118,0
153,-0.02057092925353853,0
155,-0.05142732313384632,0
156,-0.04114185850707706,0
158,-0.11314011089446191,0
159,-0.21599475716215455,0
160,-0.08228371701415411,0
162,-0.05142732313384632,0
163,-0.09256918164092338,0
165,-0.10285464626769264,0
166,-0.20570929253538528,0
167,-0.2365656864156931,0
169,-0.11314011089446191,0
170,-0.12342557552123118,0
172,-0.15428196940153896,0
173,-0.20570929253538528,0
174,-0.3085639388030779,0
176,-0.2571366156692316,0
177,-0.13371104014800045,0
179,-0.18513836328184677,0
180,-0.18513836328184677,0
182,-0.24685115104246236,0
183,-0.3188494034298472,0
184,-0.19542382790861604,0
186,-0.15428196940153896,0
187,-0.19542382790861604,0
189,-0.20570929253538528,0
190,-0.24685115104246236,0
191,-0.2674220802960009,0
193,-0.12342557552123118,0
194,-0.11314011089446191,0
196,-0.12342557552123118,0
197,-0.10285464626769264,0
198,-0.16456743402830823,0
200,-0.12342557552123118,0
201,-0.04114185850707706,0
203,-0.06171278776061559,0
204,-0.08228371701415411,0
205,-0.10285464626769264,0
207,-0.21599475716215455,0
208,-0.15428196940153896,0
210,-0.07199825238738485,0
211,-0.1439965047747697,0
212,-0.15428196940153896,0
214,-0.21599475716215455,0
215,-0.2674220802960009,0
217,-0.15428196940153896,0
218,-0.10285464626769264,0
220,-0.20570929253538528,0
221,-0.20570929253538528,0
222,-0.24685115104246236,0
224,-0.2674220802960009,0
225,-0.12342557552123118,0
227,-0.15428196940153896,0
228,-0.15428196940153896,0
229,-0.18513836328184677,0
231,-0.24685115104246236,0
232,-0.19542382790861604,0
234,-0.10285464626769264,0
235,-0.15428196940153896,0
236,-0.15428196940153896,0
238,-0.1748528986550775,0
239,-0.20570929253538528,0
241,-0.12342557552123118,0
242,-0.08228371701415411,0
243,-0.11314011089446191,0
245,-0.12342557552123118,0
246,-0.19542382790861604,0
248,-0.19542382790861604,0
249,-0.08228371701415411,0
251,-0.12342557552123118,0
252,-0.15428196940153896,0
253,-0.1439965047747697,0
255,-0.2365656864156931,0
256,-0.1748528986550775,0
258,-0.09256918164092338,0
259,-0.10285464626769264,0
260,-0.1439965047747697,0
262,-0.19542382790861604,0
263,-0.24685115104246236,0
265,-0.15428196940153896,0
266,-0.11314011089446191,0
267,-0.15428196940153896,0
269,-0.1748528986550775,0
270,-0.24685115104246236,0
272,-0.24685115104246236,0
273,-0.13371104014800045,0
274,-0.1439965047747697,0
276,-0.18513836328184677,0
277,-0.24685115104246236,0
279,-0.27770754492277017,0
280,-0.22628022178892382,0
281,-0.12342557552123118,0
283,-0.15428196940153896,0
284,-0.15428196940153896,0
286,-0.18513836328184677,0
287,-0.2365656864156931,0
289,-0.1439965047747697,0
290,-0.09256918164092338,0
291,-0.11314011089446191,0
293,-0.13371104014800045,0
294,-0.18513836328184677,0
296,-0.1748528986550775,0
297,-0.09256918164092338,0
298,-0.07199825238738485,0
300,-0.04114185850707706,0
301,-0.10285464626769264,0
303,-0.1748528986550775,0
304,-0.13371104014800045,0
305,-0.02057092925353853,0
307,-0.06171278776061559,0
308,-0.08228371701415411,0
310,-0.12342557552123118,0
311,-0.1748528986550775,0
312,-0.07199825238738485,0
314,-0.02057092925353853,0
315,-0.07199825238738485,0
317,-0.09256918164092338,0
318,-0.1439965047747697,0
319,-0.11314011089446191,0
321,-0.05142732313384632,0
322,-0.07199825238738485,0
324,-0.11314011089446191,0
325,-0.11314011089446191,0
327,-0.1748528986550775,0
328,-0.1439965047747697,0
329,-0.06171278776061559,0
331,-0.10285464626769264,0
332,-0.06171278776061559,0
334,-0.12342557552123118,0
335,-0.19542382790861604,0
336,-0.11314011089446191,0
338,-0.05142732313384632,0
339,-0.08228371701415411,0
341,-0.09256918164092338,0
342,-0.1439965047747697,0
343,-0.1748528986550775,0
345,-0.05142732313384632,0
346,-0.09256918164092338,0
348,-0.10285464626769264,0
349,-0.13371104014800045,0
350,-0.24685115104246236,0
352,-0.20570929253538528,0
353,-0.11314011089446191,0
355,-0.13371104014800045,0
356,-0.11314011089446191,0
358,-0.1439965047747697,0
359,-0.21599475716215455,0
360,-0.11314011089446191,0
362,-0.07199825238738485,0
363,-0.10285464626769264,0
365,-0.08228371701415411,0
366,-0.15428196940153896,0
367,-0.1748528986550775,0
369,-0.05142732313384632,0
370,-0.06171278776061559,0
372,-0.07199825238738485,0
373,-0.07199825238738485,0
374,-0.16456743402830823,0
376,-0.11314011089446191,0
377,-0.02057092925353853,0
379,-0.08228371701415411,0
380,-0.07199825238738485,0
381,-0.1439965047747697,0
383,-0.22628022178892382,0
384,-0.1439965047747697,0
386,-0.07199825238738485,0
387,-0.10285464626769264,0
388,-0.11314011089446191,0
390,-0.18513836328184677,0
391,-0.20570929253538528,0
393,-0.08228371701415411,0
394,-0.11314011089446191,0
396,-0.1748528986550775,0
397,-0.19542382790861604,0
398,-0.24685115104246236,0
400,-0.21599475716215455,0
401,-0.10285464626769264,0
403,-0.1748528986550775,0
404,-0.1439965047747697,0
405,-0.15428196940153896,0
407,-0.2365656864156931,0
408,-0.1748528986550775,0
410,-0.10285464626769264,0
411,-0.1439965047747697,0
412,-0.1439965047747697,0
414,-0.18513836328184677,0
415,-0.20570929253538528,0
417,-0.13371104014800045,0
418,-0.09256918164092338,0
419,-0.1748528986550775,0
421,-0.18513836328184677,0
422,-0.24685115104246236,0
424,-0.24685115104246236,0
425,-0.10285464626769264,0
427,-0.13371104014800045,0
428,-0.16456743402830823,0
429,-0.20570929253538528,0
431,-0.2674220802960009,0
432,-0.18513836328184677,0
434,-0.09256918164092338,0
435,-0.15428196940153896,0
436,-0.15428196940153896,0
438,-0.18513836328184677,0
439,-0.19542382790861604,0
441,-0.08228371701415411,0
442,-0.06171278776061559,0
443,-0.11314011089446191,0
445,-0.12342557552123118,0
446,-0.16456743402830823,0
448,-0.18513836328184677,0
449,-0.06171278776061559,0
450,-0.10285464626769264,0
452,-0.07199825238738485,0
453,-0.13371104014800045,0
455,-0.2571366156692316,0
456,-0.18513836328184677,0
457,-0.05142732313384632,0
459,-0.07199825238738485,0
460,-0.10285464626769264,0
462,-0.1748528986550775,0
463,-0.24685115104246236,0
465,-0.13371104014800045,0
466,-0.11314011089446191,0
467,-0.16456743402830823,0
469,-0.1748528986550775,0
470,-0.2571366156692316,0
472,-0.22628022178892382,0
473,-0.09256918164092338,0
474,-0.1439965047747697,0
476,-0.1439965047747697,0
477,-0.15428196940153896,0
479,-0.21599475716215455,0
480,-0.15428196940153896,0
481,-0.07199825238738485,0
483,-0.09256918164092338,0
484,-0.06171278776061559,0
486,-0.11314011089446191,0
487,-0.18513836328184677,0
488,-0.08228371701415411,0
490,0.0,0
491,0.02057092925353853,0
493,0.0,0
494,-0.09256918164092338,0
496,-0.08228371701415411,0
497,0.07199825238738485,0
498,0.07199825238738485,0
500,0.08228371701415411,0
501,-0.010285464626769264,0
503,-0.08228371701415411,0
504,-0.030856393880307795,0
505,0.10285464626769264,0
507,0.05142732313384632,0
508,0.010285464626769264,0
510,-0.04114185850707706,0
511,-0.10285464626769264,0
512,-0.010285464626769264,0
514,0.05142732313384632,0
515,-0.010285464626769264,0
517,-0.04114185850707706,0
518,-0.10285464626769264,0
519,-0.11314011089446191,0
521,0.010285464626769264,0
522,-0.02057092925353853,0
524,-0.010285464626769264,0
525,-0.02057092925353853,0
526,-0.10285464626769264,0
528,-0.06171278776061559,0
529,0.04114185850707706,0
531,0.010285464626769264,0
532,0.02057092925353853,0
534,0.0,0
535,-0.10285464626769264,0
536,-0.010285464626769264,0
538,0.10285464626769264,0
539,0.06171278776061559,0
541,0.07199825238738485,0
542,-0.04114185850707706,0
543,-0.07199825238738485,0
545,0.10285464626769264,0
546,0.09256918164092338,0
548,0.06171278776061559,0
549,0.04114185850707706,0
550,-0.10285464626769264,0
552,-0.06171278776061559,0
553,0.07199825238738485,0
555,-0.010285464626769264,0
556,-0.010285464626769264,0
557,-0.04114185850707706,0
559,-0.10285464626769264,0
560,-0.010285464626769264,0
562,0.04114185850707706,0
563,-0.030856393880307795,0
565,-0.010285464626769264,0
566,-0.10285464626769264,0
567,-0.13371104014800045,0
569,0.02057092925353853,0
570,-0.010285464626769264,0
572,-0.02057092925353853,0
573,-0.02057092925353853,0
574,-0.1439965047747697,0
576,-0.09256918164092338,0
577,0.04114185850707706,0
579,0.0,0
580,-0.010285464626769264,0
581,-0.05142732313384632,0
583,-0.13371104014800045,0
584,-0.07199825238738485,0
586,0.010285464626769264,0
587,-0.04114185850707706,0
588,-0.05142732313384632,0
590,-0.11314011089446191,0
591,-0.1748528986550775,0
593,-0.05142732313384632,0
594,-0.030856393880307795,0
595,-0.07199825238738485,0
597,-0.09256918164092338,0
598,-0.15428196940153896,0
600,-0.15428196940153896,0
601,-0.02057092925353853,0
603,-0.06171278776061559,0
604,-0.07199825238738485,0
605,-0.06171278776061559,0
607,-0.11314011089446191,0
608,-0.06171278776061559,0
610,0.030856393880307795,0
611,0.0,0
612,-0.030856393880307795,0
614,-0.030856393880307795,0
615,-0.05142732313384632,0
617,0.04114185850707706,0
618,0.07199825238738485,0
619,0.010285464626769264,0
621,-0.010285464626769264,0
622,-0.08228371701415411,0
624,-0.12342557552123118,0
625,-0.010285464626769264,0
626,-0.030856393880307795,0
628,-0.04114185850707706,0
629,-0.02057092925353853,0
631,-0.08228371701415411,0
632,-0.05142732313384632,0
633,0.09256918164092338,0
