Step (steps),Load (N)
6.293737500000001,0.0,initial approach
12.355325,0.16772179751502736,initial approach
18.092707500000003,0.6708871900601002,initial approach
23.934252500000003,0.8386089875751276,initial approach
29.809780000000003,1.0063307850901455,initial approach
35.804052500000004,0.6708871900601002,initial approach
41.81577250000001,0.8386089875751276,initial approach
47.62789250000001,0.5031653925450728,initial approach
53.19822500000001,0.6708871900601002,initial approach
58.80879000000001,0.6708871900601002,initial approach
64.51752750000001,0.6708871900601002,initial approach
70.35334250000001,0.6708871900601002,initial approach
76.17848250000002,0.6708871900601002,initial approach
82.10843500000001,0.6708871900601002,initial approach
88.13122000000001,0.6708871900601002,initial approach
94.39553500000001,0.5031653925450728,initial approach
100.61297500000002,0.6708871900601002,initial approach
107.0449875,0.8386089875751276,initial approach
113.3689325,0.8386089875751276,initial approach
119.638975,0.8386089875751276,initial approach
126.68684749999998,0.6708871900601002,initial approach
135.214865,0.5031653925450728,initial approach
142.4838225,0.3354435950300547,initial approach
148.1298025,0.3354435950300547,initial approach
153.25341,0.5031653925450728,initial approach
158.3031925,0.3354435950300547,initial approach
163.3061,0.5031653925450728,initial approach
168.27580749999998,0.3354435950300547,initial approach
173.24512499999997,0.3354435950300547,initial approach
178.235405,0.3354435950300547,initial approach
183.25563,0.5031653925450728,initial approach
188.24552,0.5031653925450728,initial approach
193.2167875,0.5031653925450728,initial approach
198.19443750000002,0.5031653925450728,initial approach
203.19669750000006,0.6708871900601002,initial approach
208.24036000000007,0.5031653925450728,initial approach
213.27243250000004,0.5031653925450728,initial approach
218.29305000000002,0.5031653925450728,initial approach
223.28697500000004,0.5031653925450728,initial approach
228.30186250000003,0.5031653925450728,initial approach
233.36245250000002,0.6708871900601002,initial approach
238.4113225,0.5031653925450728,initial approach
243.429595,0.5031653925450728,initial approach
248.44305000000003,0.5031653925450728,initial approach
253.47017750000003,0.5031653925450728,initial approach
258.524125,0.6708871900601002,initial approach
263.5647925,0.5031653925450728,initial approach
268.582545,0.5031653925450728,initial approach
273.585065,0.6708871900601002,initial approach
278.781975,0.6708871900601002,initial approach
283.81170499999996,0.8386089875751276,initial approach
288.846255,1.0063307850901455,initial approach
293.87298999999996,0.8386089875751276,initial approach
298.9170425,0.8386089875751276,initial approach
304.094945,0.8386089875751276,initial approach
309.162955,0.8386089875751276,initial approach
314.1804475,1.0063307850901455,initial approach
319.2000225,0.8386089875751276,initial approach
324.20931,0.8386089875751276,initial approach
329.24073500000003,0.8386089875751276,initial approach
334.23596000000003,0.6708871900601002,initial approach
339.23431250000004,0.8386089875751276,initial approach
344.21600000000007,0.8386089875751276,initial approach
349.20146000000005,0.6708871900601002,initial approach
354.2474675,1.0063307850901455,initial approach
359.29034750000005,0.8386089875751276,initial approach
364.29443000000003,1.0063307850901455,initial approach
369.3058025,0.8386089875751276,initial approach
374.3199075,0.8386089875751276,initial approach
381.05946,0.8386089875751276,initial approach
387.203075,1.0063307850901455,initial approach
393.336145,1.0063307850901455,initial approach
399.5327525,0.6708871900601002,initial approach
405.8011,0.6708871900601002,initial approach
415.45745500000004,0.5031653925450728,initial approach
421.5793250000001,0.3354435950300547,initial approach
427.83817000000005,0.3354435950300547,initial approach
433.35668250000003,0.5031653925450728,initial approach
438.4719550000001,0.6708871900601002,initial approach
443.5367125,0.6708871900601002,initial approach
448.59990500000004,0.6708871900601002,initial approach
453.7960350000001,0.8386089875751276,initial approach
458.93943249999995,0.8386089875751276,initial approach
463.99286,0.8386089875751276,initial approach
469.0212875,0.8386089875751276,initial approach
474.10922000000005,0.8386089875751276,initial approach
479.2675900000001,0.8386089875751276,initial approach
484.81826250000006,1.0063307850901455,initial approach
490.7435275000001,0.8386089875751276,initial approach
496.70551000000006,0.8386089875751276,initial approach
502.9302400000001,0.8386089875751276,initial approach
508.93076250000007,0.8386089875751276,initial approach
515.0648725000001,1.0063307850901455,initial approach
522.3541425000001,0.8386089875751276,initial approach
528.4618200000001,1.0063307850901455,initial approach
534.715715,1.174052582605173,initial approach
540.8431825,1.0063307850901455,initial approach
547.11856,1.0063307850901455,initial approach
553.076245,0.8386089875751276,initial approach
558.872345,0.6708871900601002,initial approach
565.02937,0.8386089875751276,initial approach
573.089435,0.8386089875751276,initial approach
579.8235175,1.0063307850901455,initial approach
585.8594525,0.8386089875751276,initial approach
591.8477325,0.8386089875751276,initial approach
597.7352375,1.0063307850901455,initial approach
603.5329025000001,1.0063307850901455,initial approach
609.3775700000001,1.0063307850901455,initial approach
615.2865575000001,1.0063307850901455,initial approach
620.816265,1.0063307850901455,initial approach
626.3791725000001,1.0063307850901455,initial approach
632.38399,1.0063307850901455,initial approach
638.2287875000001,1.0063307850901455,initial approach
644.12228,1.174052582605173,initial approach
650.1367325,1.0063307850901455,initial approach
656.0875149999999,1.0063307850901455,initial approach
662.1658974999999,1.0063307850901455,initial approach
667.9139524999999,1.0063307850901455,initial approach
673.5732125,1.0063307850901455,initial approach
679.9591325,1.0063307850901455,initial approach
685.8156475,1.0063307850901455,initial approach
691.97853,1.0063307850901455,initial approach
697.9730625,1.174052582605173,initial approach
703.7363525,1.0063307850901455,initial approach
709.8272324999999,1.0063307850901455,initial approach
715.7363499999999,1.0063307850901455,initial approach
721.706925,1.174052582605173,initial approach
735.6225949999999,1.174052582605173,initial approach
746.3007749999999,1.174052582605173,initial approach
753.07535,1.174052582605173,initial approach
760.6993675,1.174052582605173,initial approach
