Step (steps),Load (N),Stage
0,0.12,0
1,0.12,0
2,0.06,0
3,-0.04,0
4,0.06,0
6,0.0,0
7,0.06,0
9,0.04,0
10,-0.04,0
11,0.06,0
13,-0.04,0
14,0.08,0
16,0.08,0
17,0.06,0
19,0.1,0
20,0.04,0
21,0.1,0
23,0.06,0
24,0.04,0
26,0.14,0
27,0.0,0
28,0.08,0
30,0.0,0
31,0.02,0
33,0.04,0
34,-0.02,0
35,0.12,0
37,0.04,0
38,0.08,0
40,0.08,0
41,0.04,0
42,0.1,0
44,0.02,0
45,0.08,0
47,0.08,0
48,0.02,0
50,0.1,0
51,0.04,0
52,0.08,0
54,0.02,0
55,0.08,0
57,0.12,0
58,0.0,0
59,0.1,0
61,0.06,0
62,0.06,0
64,0.08,0
65,0.04,0
66,0.04,0
68,-0.16,0
69,-0.12,0
71,-0.06,0
72,-0.1,0
73,0.02,0
75,-0.02,0
76,0.1,0
78,0.08,0
79,0.06,0
81,0.16,0
82,0.02,0
83,0.14,0
85,0.08,0
86,0.08,0
88,0.12,0
89,0.04,0
90,0.1,0
92,0.02,0
93,0.08,0
95,0.14,0
96,0.12,0
97,0.2,0
99,0.1,0
100,0.16,0
102,0.02,0
103,-0.2,0
105,-0.32,0
106,-0.58,0
107,-0.58,0
109,-0.74,0
110,-0.72,0
112,-0.68,0
113,-0.76,0
114,-0.66,0
116,-0.64,0
117,-0.6,0
119,-0.56,0
120,-0.62,0
121,-0.52,0
123,-0.62,0
124,-0.56,0
126,-0.6,0
127,-0.68,0
128,-0.58,0
130,-0.66,0
131,-0.66,0
133,-0.66,0
134,-0.72,0
136,-0.6,0
137,-0.62,0
138,-0.48,0
140,-0.56,0
141,-0.64,0
143,-0.6,0
144,-0.72,0
145,-0.72,0
147,-0.78,0
148,-0.8,0
150,-0.78,0
151,-0.78,0
152,-0.72,0
154,-0.8,0
155,-0.64,0
157,-0.68,0
158,-0.8,0
160,-0.7,0
161,-0.68,0
162,-0.56,0
164,-0.6,0
165,-0.62,0
167,-0.52,0
168,-0.6,0
169,-0.5,0
171,-0.58,0
172,-0.58,0
174,-0.52,0
175,-0.56,0
176,-0.46,0
178,-0.56,0
179,-0.48,0
181,-0.48,0
182,-0.6,0
184,-0.54,0
185,-0.6,0
186,-0.5,0
188,-0.64,0
189,-0.72,0
191,-0.74,0
192,-0.74,0
193,-0.64,0
195,-0.64,0
196,-0.5,0
198,-0.34,0
199,-0.4,0
200,-0.2,0
202,-0.14,0
203,0.0,0
205,0.06,0
206,0.04,0
207,0.18,0
209,0.1,0
210,0.16,0
212,0.16,0
213,0.1,0
215,0.16,0
216,0.1,0
217,0.16,0
219,0.12,0
220,0.1,0
222,0.14,0
223,0.06,0
224,0.16,0
226,0.08,0
227,0.1,0
229,0.12,0
230,0.04,0
231,0.14,0
233,0.06,0
234,0.08,0
236,0.14,0
237,0.1,0
238,0.16,0
240,0.08,0
241,0.14,0
243,0.12,0
244,0.02,0
246,0.12,0
247,0.04,0
248,0.12,0
250,0.02,0
251,0.06,0
253,0.14,0
254,0.04,0
255,0.14,0
257,0.1,0
258,0.1,0
260,0.12,0
261,0.08,0
262,0.16,0
264,0.02,0
265,0.12,0
267,0.12,0
268,0.02,0
269,0.1,0
271,0.02,0
272,0.12,0
274,0.06,0
275,0.06,0
277,0.16,0
278,0.08,0
279,0.16,0
281,0.08,0
282,0.08,0
284,0.12,0
285,0.04,0
286,0.12,0
288,0.04,0
289,0.1,0
291,0.12,0
292,0.04,0
293,0.1,0
295,0.04,0
296,0.14,0
298,0.12,0
299,0.04,0
301,0.12,0
302,0.06,0
303,0.12,0
305,0.1,0
306,0.08,0
308,0.14,0
309,0.04,0
310,0.12,0
312,0.04,0
313,-0.06,0
315,0.0,0
316,0.0,0
317,0.1,0
319,0.02,0
320,0.08,0
322,0.1,0
323,-0.02,0
324,0.1,0
326,0.02,0
327,0.1,0
329,0.08,0
330,0.04,0
332,0.14,0
333,0.02,0
334,0.1,0
336,0.1,0
337,0.1,0
339,0.16,0
340,0.06,0
341,0.16,0
343,0.02,0
344,0.06,0
346,0.12,0
347,0.02,0
348,0.12,0
350,0.0,0
351,0.04,0
353,0.04,0
354,-0.02,0
355,0.1,0
357,0.04,0
358,0.12,0
360,0.08,0
361,0.04,0
363,0.08,0
364,0.02,0
365,0.14,0
367,0.04,0
368,0.02,0
370,0.1,0
371,0.04,0
372,0.08,0
374,0.02,0
375,0.08,0
377,0.12,0
378,0.04,0
379,0.1,0
381,0.04,0
382,0.06,0
384,0.08,0
385,0.02,0
386,0.08,0
388,0.0,0
389,0.1,0
391,0.06,0
392,0.0,0
394,0.04,0
395,-0.2,0
396,-0.24,0
398,-0.44,0
399,-0.5,0
401,-0.48,0
402,-0.62,0
403,-0.58,0
405,-0.64,0
406,-0.74,0
408,-0.92,0
409,-1.14,0
410,-1.16,0
412,-1.28,0
413,-1.22,0
415,-1.22,0
416,-1.18,0
418,-1.06,0
419,-1.18,0
420,-1.14,0
422,-1.18,0
423,-1.2,0
425,-1.1,0
426,-1.16,0
427,-1.08,0
429,-1.1,0
430,-1.1,0
432,-1.1,0
433,-1.14,0
434,-1.08,0
436,-1.1,0
437,-0.9,0
439,-0.9,0
440,-1.02,0
442,-0.88,0
443,-1.06,0
444,-1.14,0
446,-1.34,0
447,-1.38,0
449,-1.28,0
450,-1.3,0
451,-1.06,0
453,-1.12,0
454,-1.1,0
456,-1.08,0
457,-1.16,0
458,-1.08,0
460,-1.12,0
461,-1.14,0
463,-1.26,0
464,-1.38,0
466,-1.24,0
467,-1.32,0
468,-1.18,0
470,-1.22,0
471,-1.24,0
473,-1.22,0
474,-1.34,0
475,-1.22,0
477,-1.26,0
478,-1.22,0
480,-1.16,0
481,-1.16,0
482,-1.12,0
484,-1.2,0
485,-1.14,0
487,-1.12,0
488,-1.22,0
489,-1.18,0
491,-1.2,0
492,-1.08,0
494,-1.1,0
495,-1.12,0
497,-1.02,0
498,-1.1,0
499,-0.98,0
501,-1.04,0
502,-1.14,0
504,-1.1,0
505,-1.22,0
506,-1.2,0
508,-1.38,0
509,-1.34,0
511,-1.24,0
512,-1.22,0
513,-0.98,0
515,-0.86,0
516,-0.7,0
518,-0.62,0
519,-0.62,0
521,-0.52,0
522,-0.6,0
523,-0.44,0
525,-0.36,0
526,-0.36,0
528,-0.36,0
529,-0.38,0
530,-0.16,0
532,-0.12,0
533,-0.04,0
535,0.04,0
536,0.0,0
537,0.08,0
539,-0.06,0
540,0.06,0
542,0.08,0
543,0.06,0
545,0.12,0
546,0.06,0
547,0.14,0
549,0.08,0
550,0.04,0
552,0.12,0
553,0.0,0
554,0.08,0
556,0.02,0
557,0.06,0
559,0.0,0
560,-0.06,0
561,0.02,0
563,-0.04,0
564,-0.04,0
566,0.06,0
567,0.0,0
568,0.08,0
570,0.0,0
571,0.08,0
573,0.06,0
574,-0.02,0
576,0.08,0
577,0.04,0
578,0.12,0
580,0.06,0
581,0.06,0
583,0.1,0
584,0.02,0
585,0.1,0
587,0.04,0
588,0.04,0
590,0.08,0
591,0.0,0
592,0.08,0
